country,year,gender,population,num_of_incidence,per_of_incidence,incidence_rate,weight_35f,weight_30f,weight_25f,cholesterol_level,diabetes_level,hypertension_level,smoking_level,obesity_level,country_year_gender
Belgium,2000,Male,5012015.0,24704.480129485837,0.0014021653984717,492.90515151063664,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.3,4.02,41.4,,,Belgium_2000_Male
Belgium,2001,Male,5030157.0,25231.79864069681,0.0014200197333437,501.61055888905275,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.2,4.07,41.5,28.6,11.5,Belgium_2001_Male
Belgium,2002,Male,5054585.0,25762.820018283903,0.0014365500922899,509.69209179950286,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.2,4.13,41.6,,,Belgium_2002_Male
Belgium,2003,Male,5077032.0,26244.03317168356,0.0014496747754645,516.9168358931668,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.1,4.2,41.7,,,Belgium_2003_Male
Belgium,2004,Male,5099248.0,26596.80631893129,0.0014548998836634,521.5829141656042,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.1,4.27,41.7,28.0,11.9,Belgium_2004_Male
Belgium,2005,Male,5127575.0,27025.83095889081,0.0014655346810238,527.0684672362825,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.1,4.35,41.6,,,Belgium_2005_Male
Belgium,2006,Male,5162614.0,27358.93341252651,0.0014718150867895,529.9434242522589,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.0,4.44,41.5,,,Belgium_2006_Male
Belgium,2007,Male,5202204.0,27725.545710933988,0.0014745612772404,532.9576793015804,1.0579784898997795,1.1393614506613008,1.2207444114228225,5.0,4.53,41.3,,,Belgium_2007_Male
Belgium,2008,Male,5245828.0,28040.87702651076,0.0014731175154079,534.5367218770947,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,4.63,41.1,23.6,13.3,Belgium_2008_Male
Belgium,2009,Male,5290439.0,28269.608811444417,0.0014677640619962,534.3527977818933,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,4.74,40.7,,,Belgium_2009_Male
Belgium,2010,Male,5341229.0,28437.70283814427,0.001461781045188,532.4187155829542,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,4.85,40.3,,,Belgium_2010_Male
Belgium,2011,Male,5392021.0,27694.45179470756,0.0014132228988264,513.6191382546091,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,4.97,39.8,,,Belgium_2011_Male
Belgium,2012,Male,5430643.0,25747.28713454712,0.0013056045880476,474.11120809353736,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,5.09,39.1,,,Belgium_2012_Male
Belgium,2013,Male,5460900.0,23147.597063308323,0.001171010452322,423.8787940322716,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.7,5.22,38.4,21.6,13.6,Belgium_2013_Male
Belgium,2014,Male,5489701.0,20612.22303690241,0.0010394678333727,375.47077767809964,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.7,5.35,37.7,,18.1,Belgium_2014_Male
Belgium,2015,Male,5521312.0,19034.422630994155,0.0009582526719463,344.7445576521333,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.6,5.5,36.9,,,Belgium_2015_Male
Belgium,2016,Male,5552769.0,18021.87300749422,0.0009053521814479,324.5565051867676,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.6,5.65,36.1,,,Belgium_2016_Male
Belgium,2017,Male,5582957.0,17186.802716950624,0.0008650208361519,307.84408185394625,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.6,5.8,35.4,,,Belgium_2017_Male
Belgium,2018,Male,5613066.0,16412.17222147141,0.0008281651509058,292.3922900865839,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.5,5.97,34.6,18.9,19.6,Belgium_2018_Male
Chile,2000,Male,7548498.0,16255.472413444646,0.000464150374489,215.3471116167037,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,7.63,42.0,,1.6,Chile_2000_Male
Chile,2001,Male,7635895.0,16718.027712377934,0.0004766299509171,218.93998951502,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,7.89,42.2,,,Chile_2001_Male
Chile,2002,Male,7720701.0,17130.521534479805,0.0004879276586332,221.87780014379274,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,8.15,42.4,,,Chile_2002_Male
Chile,2003,Male,7802261.0,17573.919783448866,0.0005001285106601,225.24137276936605,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,8.39,42.5,38.8,19.6,Chile_2003_Male
Chile,2004,Male,7883618.0,18001.458100892956,0.0005116543517192,228.3400603744747,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,8.61,42.6,,,Chile_2004_Male
Chile,2005,Male,7963051.0,18329.24551450991,0.0005201543741773,230.17867792771776,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,8.82,42.6,,,Chile_2005_Male
Chile,2006,Male,8043964.0,18506.85969534752,0.0005239671224305,230.0713888742854,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.9,9.02,42.6,,5.1,Chile_2006_Male
Chile,2007,Male,8127739.0,18669.96801842243,0.0005265300339954,229.70678584071698,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,9.21,42.5,,,Chile_2007_Male
Chile,2008,Male,8216437.0,18499.05913640036,0.0005200776741843,225.14697229955465,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,9.4,42.4,,,Chile_2008_Male
Chile,2009,Male,8307013.0,18717.78689309236,0.0005233940754444,225.32511858465082,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,9.57,42.2,33.7,19.2,Chile_2009_Male
Chile,2010,Male,8397402.0,19186.119497563443,0.0005333962854311,228.4768491202808,1.0579784898997795,1.1393614506613008,1.2207444114228225,4.8,9.74,41.9,,,Chile_2010_Male
